CODE,NAME
16479,с. Горни Върпища
16496,с. Горни Главанак
16506,с. Горни Дамяновци
16513,с. Горни Домлян
16523,с. Горни Драгойча
16537,с. Горни Дъбник
16540,с. Горник
16554,с. Горни Коритен
16568,с. Горни край
16571,с. Горни Лом
16585,с. Горни Маренци
16599,с. Горни Окол
16609,с. Горни Радковци
16612,с. Горни Романци
16626,с. Горни Танчевци
16639,с. Горни Цибър
16643,с. Горни Цоневци
16660,с. Горни Юруци
16674,с. Горно Абланово
16688,с. Горно Александрово
16691,с. Горно Белево
16701,с. Горно Ботево
16715,с. Горнова могила
16729,с. Горно Войводино
16732,с. Горно вършило
16754,с. Горно Драглище
16763,с. Горно Дряново
16780,с. Горно Изворово
16794,с. Горно Камарци
16804,с. Горно Кобиле
16818,с. Горно Козарево
16821,с. Горно Къпиново
16835,с. Горно Луково
16849,с. Горно Новково
16852,с. Горно ново село
16866,с. Горно Озирово
16870,с. Горно Осеново
16883,с. Горно Павликене
16897,с. Горно Пещене
16907,с. Горно поле
16910,с. Горно Прахово
16924,с. Горно Сахране
16938,с. Горно село
16941,с. Горноселци
16955,с. Горнослав
16969,с. Горно Спанчево
16986,с. Горно трапе
16995,с. Горно Уйно
17004,с. Горно Хърсово
17018,с. Горно Церовене
17035,с. Горно Ябълково
17049,с. Горово
17052,с. Горово
17066,с. Гороцвет
17077,с. Горочевци
17083,с. Горска
17097,с. Горска поляна
17107,с. Горски горен Тръмбеш
17124,с. Горски долен Тръмбеш
17138,с. Горски извор
17141,с. Горски извор
17155,с. Горски Сеновец
17169,с. Горско
17172,с. Горско Абланово
17186,с. Горско Дюлево
17192,с. Горско Калугерово
17208,с. Горско Косово
17213,с. Горско ново село
17227,с. Горско Писарево
17230,с. Горско село
17244,с. Горско Сливово
17258,с. Горталово
17275,с. Горун
17289,с. Горунака
17302,с. Горчево
17316,с. Горяни
17323,с. Господиново
17333,с. Господиново
17347,с. Господинци
17350,с. Гостилица
17364,с. Гостиля
17378,с. Гостиня
17381,с. Гостун
17395,гр. Гоце Делчев
17405,с. Градево
17419,с. Градежница
17422,с. Градец
17436,с. Градец
17449,с. Градец
17453,с. Градешница
17467,с. Стефан Стамболово
17470,с. Градина
17484,с. Градина
17498,с. Градина
17508,с. Градинарово
17511,с. Градини
17542,с. Градище
17556,с. Градище
17573,с. Градище
17587,с. Градница
17590,с. Градница
17600,с. Градско
17614,с. Градсковски колиби
17631,с. Градът
17645,гр. Грамада
17659,с. Грамаде
17676,с. Грамаде
17680,с. Грамаждано
17693,с. Граматиково
17703,с. Граматици
17717,с. Гранит
17720,с. Гранитец
17734,с. Гранитово
17748,с. Гранитово
17751,с. Граница
17765,с. Граничак
17779,с. Граничар
17782,с. Граничар
17796,с. Режанци
17806,с. Граф Игнатиево
17823,с. Грашево
17837,с. Гращица
17840,с. Греевци
17854,с. Гривица
17868,с. Гривка
17871,с. Гривяк
17885,с. Григорево
17909,с. Грозден
17912,с. Гроздьово
17943,с. Громшин
17957,с. Грохотно
17960,с. Боздуганово
17974,гр. Средец
17988,с. Груево
17991,с. Гръблевци
18006,с. Грълска падина
18018,с. Грънчарово
18037,с. Губеш
18040,с. Губислав
18054,с. Гугутка
18068,с. Гудевица
18071,с. Гулийка
18085,с. Гулия
18099,гр. Гулянци
18109,с. Гумощник
18112,с. Гурбановци
18126,с. Гургулица
18133,с. Гургулят
18143,с. Гурково
