postal_code,location,manuplicity,admin_center
4115,БОГДАНИЦА,САДОВО,ПЛОВДИВ
2116,БОГДАНЛИЯ,ЕЛИН ПЕЛИН,СОФИЯ
2341,БОГДАНОВ ДОЛ,ПЕРНИК,ПЕРНИК
8948,БОГДАНОВО,НОВА ЗАГОРА,СЛИВЕН
8337,БОГДАНОВО,СРЕДЕЦ,БУРГАС
2060,БОГДАНОВЦИ,ИХТИМАН,СОФИЯ
5084,БОГДАНСКО,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
7611,БОГДАНЦИ,ГЛАВИНИЦА,СИЛИСТРА
7449,БОГДАНЦИ,САМУИЛ,РАЗГРАД
5301,БОГДАНЧОВЦИ,ГАБРОВО,ГАБРОВО
2467,БОГОЙНА,ТРЪН,ПЕРНИК
2931,БОГОЛИН,САТОВЧА,БЛАГОЕВГРАД
6460,БОГОМИЛ,ХАРМАНЛИ,ХАСКОВО
6065,БОГОМИЛОВО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
7458,БОГОМИЛЦИ,САМУИЛ,РАЗГРАД
7997,БОГОМОЛСКО,АНТОНОВО,ТЪРГОВИЩЕ
7542,БОГОРОВО,СИЛИСТРА,СИЛИСТРА
8687,БОГОРОВО,СТРАЛДЖА,ЯМБОЛ
2875,БОГОРОДИЦА,ПЕТРИЧ,БЛАГОЕВГРАД
2509,БОГОСЛОВ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
4855,БОГУТЕВО,ЧЕПЕЛАРЕ,СМОЛЯН
2235,БОГЬОВЦИ,КОСТИНБРОД,СОФИЯ
3128,БОДЕНЕЦ,МЕЗДРА,ВРАЦА
6446,БОДРОВО,ДИМИТРОВГРАД,ХАСКОВО
4964,БОЕВО,РУДОЗЕМ,СМОЛЯН
2066,БОЕРИЦА,ИХТИМАН,СОФИЯ
6744,БОЖАК,КЪРДЖАЛИ,КЪРДЖАЛИ
9475,БОЖАН,ТЕРВЕЛ,ДОБРИЧ
9677,БОЖАНОВО,ШАБЛА,ДОБРИЧ
2811,БОЖДОВО,САНДАНСКИ,БЛАГОЕВГРАД
8844,БОЖЕВЦИ,СЛИВЕН,СЛИВЕН
2157,БОЖЕНИЦА,БОТЕВГРАД,СОФИЯ
5349,БОЖЕНЦИТЕ,ГАБРОВО,ГАБРОВО
7089,БОЖИЧЕН,ИВАНОВО,РУСЕ
9656,БОЖУРЕЦ,КАВАРНА,ДОБРИЧ
5848,БОЖУРИЦА,ДОЛНА МИТРОПОЛИЯ,ПЛЕВЕН
2227,БОЖУРИЩЕ,БОЖУРИЩЕ,СОФИЯ
7765,БОЖУРКА,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
5926,БОЖУРЛУК,ЛЕВСКИ,ПЛЕВЕН
9874,БОЖУРОВО,ВЪРБИЦА,ШУМЕН
9368,БОЖУРОВО,ДОБРИЧ,ДОБРИЧ
7335,БОЖУРОВО,КУБРАТ,РАЗГРАД
6704,БОЖУРЦИ,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
8872,БОЗАДЖИИ,СЛИВЕН,СЛИВЕН
9273,БОЗВЕЛИЙСКО,ПРОВАДИЯ,ВАРНА
6269,БОЗДУГАНОВО,РАДНЕВО,СТАРА ЗАГОРА
4654,БОЗЬОВА,ВЕЛИНГРАД,ПАЗАРДЖИК
7683,БОИЛ,ДУЛОВО,СИЛИСТРА
2181,БОЙКОВЕЦ,ЕТРОПОЛЕ,СОФИЯ
4103,БОЙКОВО,РОДОПИ,ПЛОВДИВ
5080,БОЙКОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
6958,БОЙНИК,КРУМОВГРАД,КЪРДЖАЛИ
3840,БОЙНИЦА,БОЙНИЦА,ВИДИН
6730,БОЙНО,КЪРДЖАЛИ,КЪРДЖАЛИ
5307,БОЙНОВЦИ,ГАБРОВО,ГАБРОВО
5050,БОЙЧЕВИ КОЛИБИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
5309,БОЙЧЕТА,ГАБРОВО,ГАБРОВО
3430,БОЙЧИНОВЦИ,БОЙЧИНОВЦИ,МОНТАНА
